AnalyteName	Alias	CAS_Number	UnitName	BeneficialUse	Objective	AveragingPeroid	Objective_Language	Evaluation_Guideline	Objective_Ref_Number	Eval_Ref_Number
"Cypermethrin, Total"		52315078	ug/L	CO	0.002	1	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life. (Basin Plan)."	"The interim freshwater criterion maximum concentration is 0.002 ug/L (DFG 00-6, 2000)."	2430	3734
"Cypermethrin, Total"		52315078	ug/L	ES	0.016	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life. (Basin Plan)."	"The genus mean acute value for a grass shrimp (Palaemonetes pugio) of  0.016 ug/L (DFG 00-6, 2000)."	2430	3734
"Cypermethrin, Total"		52315078	ug/L	MA	0.016	7	"Marine communities, including vertebrate, invertebrate, and plant species, shall not be degraded (Ocean Plan)."	"The genus mean acute value for a grass shrimp (Palaemonetes pugio) of  0.016 ug/L (DFG 00-6, 2000)."	3726	3734
"Cypermethrin, Total"		52315078	ug/L	WA	0.002	1	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life. (Basin Plan)."	"The interim freshwater criterion maximum concentration is 0.002 ug/L (DFG 00-6, 2000)."	2430	3734
"Cypermethrin, Total"		52315-07-8	ug/L	CO	0.002	1	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The interim freshwater criterion maximum concentration is 0.002 ug/L (DFG 00-6, 2000)."	2430	3734
"Cypermethrin, Total"		52315-07-8	ug/L	ES	0.016	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The genus mean acute value for a grass shrimp (Palaemonetes pugio) of  0.016 ug/L (DFG 00-6, 2000)."	2430	3734
"Cypermethrin, Total"		52315-07-8	ug/L	MA	0.016	7	"Marine communities, including vertebrate, invertebrate, and plant species, shall not be degraded (Ocean Plan)."	"The genus mean acute value for a grass shrimp (Palaemonetes pugio) of  0.016 ug/L (DFG 00-6, 2000)."	3726	3734
"Cypermethrin, Total"		52315-07-8	ug/L	WA	0.002	1	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The interim freshwater criterion maximum concentration is 0.002 ug/L (DFG 00-6, 2000)."	2430	3734
"Dichloropropionic Acid, 2,2-"	Dalapon	75-99-0	ug/L	MU	200	7	"The California Maximum Contaminant Level for Dalapon incorporated by reference in the Water Quality Control Plan, Lahontan Region is 200 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"DDD(p,p')"	DDD	72-54-8	ug/L	CM	0.00084	4	"The DDD(4,4') criteria for the protection of human health from consumption of organisms only is 0.00084 ug/L (California Toxics Rule, 2000)."		476	
"DDD(p,p')"	DDD	72-54-8	ug/L	MU	0.00083	4	"The DDD(4,4') criteria for the protection of human health from the consumption of water and organisms is 0.00083 ug/L (California Toxics Rule, 2000)."		476	
"DDE(p,p')"	DDE	72-55-9	ug/L	CM	0.00059	4	"The DDE(4,4') criteria for the protection of human health from consumption of organisms only is 0.00059 ug/L (California Toxics Rule, 2000)."		476	
"DDE(p,p')"	DDE	72-55-9	ug/L	MU	0.00059	4	"The DDE(4,4') criteria for the protection of human health from the consumption of water and organisms is 0.00059 ug/L (California Toxics Rule, 2000)."		476	
"DDT(p,p')"	DDT	50-29-3	ug/L	CM	0.00059	4	"The DDT(4,4') criteria for the protection of human health from consumption of organisms only is 0.00059 ug/L (California Toxics Rule, 2000)."		476	
"DDT(p,p')"	DDT	50-29-3	ug/L	CO	0.001	4	"The DDT(4,4') criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.001 ug/L (California Toxics Rule, 2000)."		476	
"DDT(p,p')"	DDT	50-29-3	ug/L	ES	0.001	4	"The DDT(4,4') criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.001 ug/L (California Toxics Rule, 2000)."		476	
"DDT(p,p')"	DDT	50-29-3	ug/L	MA	0.001	4	"The DDT(4,4') criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.001 ug/L (California Toxics Rule, 2000)."		476	
"DDT(p,p')"	DDT	50-29-3	ug/L	MU	0.00059	4	"The DDT(4,4') criteria for the protection of human health from the consumption of water and organisms is 0.00059 ug/L (California Toxics Rule, 2000)."		476	
"DDT(p,p')"	DDT	50-29-3	ug/L	WA	0.001	4	"The DDT(4,4') criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.001 ug/L (California Toxics Rule, 2000)."		476	
Diazinon	Diazinon	333-41-5	ug/L	CO	0.1	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life. (Basin Plan)."	"The freshwater chronic value for diazinon is 0.1 ug/L, expressed as a continuous concentration (Finlayson, 2004)."	2430	389
Diazinon	Diazinon	333-41-5	ug/L	MA	0.82	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life. (Basin Plan)."	The chronic criterion for diazinon to protect saltwater aquatic organisms is 0.82 ug/L (EPA-822-R-05-006). 	2430	3723
Diazinon	Diazinon	333-41-5	ug/L	WA	0.1	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life. (Basin Plan)."	"The freshwater chronic value for diazinon is 0.1 ug/L, expressed as a continuous concentration (Finlayson, 2004)."	2430	389
"Dibenz(a,h)anthracene"	Dibenzo(a h)anthracene	53-70-3	ug/L	CM	0.049	4	"The Dibenzo(a, h)anthracene criteria for the protection of human health from consumption of organisms only is 0.049 ug/L (California Toxics Rule, 2000)."		476	
"Dibenz(a,h)anthracene"	Dibenzo(a h)anthracene	53-70-3	ug/L	MU	0.0044	4	"The Dibenzo(a, h)anthracene criteria for the protection of human health from the consumption of water and organisms is 0.0044 ug/L (California Toxics Rule, 2000)."		476	
Dibromochloromethane	Dibromochloromethane	594-18-3	ug/L	MU	80	7	"The California Maximum Contaminant Level for total trihalomethanes incorporated by reference in the Water Quality Control Plan, Lahontan Region is 80 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Bromodichloromethane	Dichlorobromomethane	75-27-4	ug/L	CM	0.41	4	"The Dichlorobromomethane criteria for the protection of human health from the consumption of water and organisms is 0.41 ug/L (California Toxics Rule, 2000)."		476	
Methylene Chloride	Dichloromethane	75-09-2	ug/L	MU	5	7	"The California Maximum Contaminant Level for Dichloromethane incorporated by reference in the Water Quality Control Plan, Lahontan Region is 5 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Dieldrin	Dieldrin	60-57-1	ug/L	CM	0.00014	4	"The Dieldrin criteria for the protection of human health from consumption of organisms only is 0.00014 ug/L (California Toxics Rule, 2000)."		476	
Dieldrin	Dieldrin	60-57-1	ug/L	CO	0.056	4	"The Dieldrin criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.056 ug/L (California Toxics Rule, 2000)."		476	
Dieldrin	Dieldrin	60-57-1	ug/L	ES	0.0019	4	"The Dieldrin criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0019 ug/L (California Toxics Rule, 2000)."		476	
Dieldrin	Dieldrin	60-57-1	ug/L	MA	0.0019	4	"The Dieldrin criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0019 ug/L (California Toxics Rule, 2000)."		476	
Dieldrin	Dieldrin	60-57-1	ug/L	MU	0.00014	4	"The Dieldrin criteria for the protection of human health from the consumption of water and organisms is 0.00014 ug/L (California Toxics Rule, 2000)."		476	
Dieldrin	Dieldrin	60-57-1	ug/L	WA	0.056	4	"The Dieldrin criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.056 ug/L (California Toxics Rule, 2000)."		476	
Diethyl phthalate	Diethylphthalate	84-66-2	ug/L	CM	120000	4	"The Diethylphthalate criteria for the protection of human health from consumption of organisms only is 120,000 ug/L (California Toxics Rule, 2000)."		476	
Diethyl phthalate	Diethylphthalate	84-66-2	ug/L	MU	23000	4	"The Diethylphthalate criteria for the protection of human health from the consumption of water and organisms is 23,000 ug/L (California Toxics Rule, 2000)."		476	
Dimethyl phthalate	Dimethylphthalate	131-11-3	ug/L	CM	2900000	4	"The Dimethylphthalate criteria for the protection of human health from consumption of organisms only is 2,900,000 ug/L (California Toxics Rule, 2000)."		476	
Dimethyl phthalate	Dimethylphthalate	131-11-3	ug/L	MU	313000	4	"The Dimethylphthalate criteria for the protection of human health from the consumption of water and organisms is 313,000 ug/L (California Toxics Rule, 2000)."		476	
Di-n-butyl Phthalate	Di-n-butylphthalate	84-74-2	ug/L	MU	2700	4	"The Di-n-butylphthalate criteria for the protection of human health from the consumption of water and organisms is 2,700 ug/L (California Toxics Rule, 2000)."		476	
Dinoseb	Dinoseb	88-85-7	ug/L	MU	7	7	"The California Maximum Contaminant Level for Dinoseb incorporated by reference in the Water Quality Control Plan, Lahontan Region is 7 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Diquat	Diquat	85-00-7	ug/L	MU	20	7	"The California Maximum Contaminant Level for Diquat incorporated by reference in the Water Quality Control Plan, Lahontan Region is 20 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Total Dissolved Solids	"Dissolved Solids, Total"	Unknown	ug/L	MU	500000	7	"The California Secondary MCL that is incorporated by reference in the Water Quality Control Plan, Lahontan Region for Total Dissolved Solids is 500 mg/L (Water Quality Control Plan, Lahontan Region)."		2430	
Endosulfan I	Endosulfan I	959-98-8	ug/L	CM	240	4	"The alpha-endosulfan criteria for the protection of human health from consumption of organisms only is 240 ug/L (California Toxics Rule, 2000)."		476	
Endosulfan I	Endosulfan I	959-98-8	ug/L	CO	0.056	4	The alpha-endosulfan criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater for alpha-endosulfan is 0.056 ug/L.		476	
Endosulfan I	Endosulfan I	959-98-8	ug/L	ES	0.0087	4	"The alpha-endosulfan criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0087 ug/L (California Toxics Rule, 2000)."		476	
Endosulfan I	Endosulfan I	959-98-8	ug/L	MA	0.0087	4	"The alpha-endosulfan criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0087 ug/L (California Toxics Rule, 2000)."		476	
Endosulfan I	Endosulfan I	959-98-8	ug/L	MU	110	4	California Toxics Rule criteria for alpha-endosulfan to protect human health for waters that include the designated use of MUN is 110 ug/L.		476	
Endosulfan I	Endosulfan I	959-98-8	ug/L	WA	0.056	4	The alpha-endosulfan criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater for alpha-endosulfan is 0.056 ug/L.		476	
Endosulfan II	Endosulfan II	33213-65-9	ug/L	CM	240	4	"The beta-endosulfan criteria for the protection of human health from consumption of organisms only is 240 ug/L (California Toxics Rule, 2000)."		476	
Endosulfan II	Endosulfan II	33213-65-9	ug/L	CO	0.056	4	The beta-endosulfan criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater for beta-endosulfan  is 0.056 ug/L.		476	
Endosulfan II	Endosulfan II	33213-65-9	ug/L	ES	0.0087	4	"The beta-endosulfan criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0087 ug/L (California Toxics Rule, 2000)."		476	
Endosulfan II	Endosulfan II	33213-65-9	ug/L	MA	0.0087	4	"The beta-endosulfan criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0087 ug/L (California Toxics Rule, 2000)."		476	
Endosulfan II	Endosulfan II	33213-65-9	ug/L	MU	110	4	California Toxics Rule criteria for beta-endosulfan to protect human health for waters that include the designated use of MUN is 110 ug/L.		476	
Endosulfan II	Endosulfan II	33213-65-9	ug/L	WA	0.056	4	The beta-endosulfan criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater for beta-endosulfan  is 0.056 ug/L.		476	
Endosulfan Sulfate	Endosulfan Sulfate	1031-07-8	ug/L	CM	240	4	"The Endosulfan Sulfate criteria for the protection of human health from consumption of organisms only is 240 ug/L (California Toxics Rule, 2000)."		476	
Endosulfan Sulfate	Endosulfan Sulfate	1031-07-8	ug/L	MU	110	4	"The Endosulfan Sulfate criterion to protect human health for waters that include the designated use of MUN is 110 ug/L (California Toxics Rule, 2000)."		476	
Endothall	Endothall	Unknown	ug/L	MU	100	7	"The California Maximum Contaminant Level for Endothall incorporated by reference in the Water Quality Control Plan, Lahontan Region is 100 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Endrin	Endrin	72-20-8	ug/L	CM	0.81	4	"The Endrin criteria for the protection of human health from consumption of organisms only is 0.81ug/L (California Toxics Rule, 2000)."		476	
Endrin	Endrin	72-20-8	ug/L	CO	0.036	4	"The Endrin criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.036 ug/L (California Toxics Rule, 2000)."		476	
Endrin	Endrin	72-20-8	ug/L	ES	0.0023	4	"The Endrin criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0023 ug/L (California Toxics Rule, 2000)."		476	
Endrin	Endrin	72-20-8	ug/L	MA	0.0023	4	"The Endrin criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0023 ug/L (California Toxics Rule, 2000)."		476	
Endrin	Endrin	72-20-8	ug/L	MU	0.76	4	"The Endrin criteria for the protection of human health from the consumption of water and organisms is 0.76 ug/L (California Toxics Rule, 2000)."		476	
Endrin	Endrin	72-20-8	ug/L	WA	0.036	4	"The Endrin criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.036 ug/L (California Toxics Rule, 2000)."		476	
Endrin Aldehyde	Endrin Aldehyde	7421-93-4	ug/L	CM	0.81	4	"The Endrin Aldehyde criteria for the protection of human health from consumption of organisms only is 0.81ug/L (California Toxics Rule, 2000)."		476	
Endrin Aldehyde	Endrin Aldehyde	7421-93-4	ug/L	MU	0.76	4	"The Endrin Aldehyde criteria for the protection of human health from consumption of water and organisms is 0.76ug/L (California Toxics Rule, 2000)."		476	
Esfenvalerate		66230-04-4	ug/L	CO	0.26	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The genus mean acute value for rainbow trout (O. mykiss) is 0.26 ug/L (DFG 00-6, 2000)."	2430	3734
Esfenvalerate		66230-04-4	ug/L	WA	0.26	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The genus mean acute value for rainbow trout (O. mykiss) is 0.26 ug/L (DFG 00-6, 2000)."	2430	3734
Ethylbenzene	Ethylbenzene	100-41-4	ug/L	CM	29000	4	"The Ethylbenzene criteria for the protection of human health from consumption of organisms only is 29,000 ug/L (California Toxics Rule, 2000)."		476	
Ethylbenzene	Ethylbenzene	100-41-4	ug/L	MU	300	7	"The California Maximum Contaminant Level for Ethylbenzene incorporated by reference in the Water Quality Control Plan, Lahontan Region is 300 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Fluoranthene	Fluoranthene	206-44-0	ug/L	CM	370	4	"The Fluoranthene criteria for the protection of human health from consumption of organisms only is 370 ug/L (California Toxics Rule, 2000)."		476	
Fluoranthene	Fluoranthene	206-44-0	ug/L	MU	300	4	"The Fluoranthene criteria for the protection of human health from the consumption of water and organisms is 300 ug/L (California Toxics Rule, 2000)."		476	
Fluorene	Fluorene	86-73-7	ug/L	CM	14000	4	"The Fluorene criteria for the protection of human health from consumption of organisms only is 14,000 ug/L (California Toxics Rule, 2000)."		476	
Fluorene	Fluorene	86-73-7	ug/L	MU	1300	4	"The Fluorene criteria for the protection of human health from the consumption of water and organisms is 1,300 ug/L (California Toxics Rule, 2000)."		476	
Fluoride	Fluoride	16984-48-8	ug/L	MU	2000	7	"The California Maximum Contaminant Level for Fluoride incorporated by reference in the Water Quality Control Plan, Lahontan Region is 2 mg/L (Water Quality Control Plan, Lahontan Region). "		2430	
Glyphosate	Glyphosate	1071-83-6	ug/L	MU	700	7	"The California Maximum Contaminant Level for Glyphosate incorporated by reference in the Water Quality Control Plan, Lahontan Region is 700 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Heptachlor	Heptachlor	76-44-8	ug/L	CM	0.00021	4	"The Heptachlor criteria for the protection of human health from consumption of organisms only is 0.00021 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor	Heptachlor	76-44-8	ug/L	CO	0.0038	4	"The Heptachlor criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.0038 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor	Heptachlor	76-44-8	ug/L	ES	0.0036	4	"The Heptachlor criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0036 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor	Heptachlor	76-44-8	ug/L	MA	0.0036	4	"The Heptachlor criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0036 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor	Heptachlor	76-44-8	ug/L	MU	0.00021	4	"The Heptachlor criteria for the protection of human health from the consumption of water and organisms is 0.00021 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor	Heptachlor	76-44-8	ug/L	WA	0.0038	4	"The Heptachlor criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.0038 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor Epoxide	Heptachlor Epoxide	1024-57-3	ug/L	CM	0.00011	4	"The Heptachlor Epoxide criteria for the protection of human health from consumption of organisms only is 0.00011 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor Epoxide	Heptachlor Epoxide	1024-57-3	ug/L	CO	0.0038	4	"The Heptachlor Epoxide criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.0038 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor Epoxide	Heptachlor Epoxide	1024-57-3	ug/L	ES	0.0036	4	"The Heptachlor Epoxide criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0036 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor Epoxide	Heptachlor Epoxide	1024-57-3	ug/L	MA	0.0036	4	"The Heptachlor Epoxide criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0036 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor Epoxide	Heptachlor Epoxide	1024-57-3	ug/L	MU	0.0001	4	"The Heptachlor Epoxide criteria for the protection of human health from the consumption of water and organisms is 0.00010 ug/L (California Toxics Rule, 2000)."		476	
Heptachlor Epoxide	Heptachlor Epoxide	1024-57-3	ug/L	WA	0.0038	4	"The Heptachlor Epoxide criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.0038 ug/L (California Toxics Rule, 2000)."		476	
Hexachlorobenzene	Hexachlorobenzene	118-74-1	ug/L	CM	0.00077	4	"The Hexachlorobenzene criteria for the protection of human health from consumption of organisms only is 0.00077 ug/L (California Toxics Rule, 2000)."		476	
Hexachlorobenzene	Hexachlorobenzene	118-74-1	ug/L	MU	0.00075	4	"The Hexachlorobenzene criteria for the protection of human health from the consumption of water and organisms is 0.00075 ug/L (California Toxics Rule, 2000)."		476	
Hexachlorobutadiene	Hexachlorobutadiene	87-68-3	ug/L	CM	50	4	"The Hexachlorobutadiene criteria for the protection of human health from consumption of organisms only is 50 ug/L (California Toxics Rule, 2000)."		476	
Hexachlorobutadiene	Hexachlorobutadiene	87-68-3	ug/L	MU	0.44	4	"The Hexachlorobutadiene criteria for the protection of human health from the consumption of water and organisms is 0.44 ug/L (California Toxics Rule, 2000)."		476	
Hexachlorocyclopentadiene	Hexachlorocyclopentadiene	77-47-4	ug/L	CM	17000	4	"The Hexachlorocyclopentadiene criteria for the protection of human health from consumption of organisms only is 17,000 ug/L (California Toxics Rule, 2000)."		476	
Hexachlorocyclopentadiene	Hexachlorocyclopentadiene	77-47-4	ug/L	MU	50	7	"The California Maximum Contaminant Level for Hexachlorocyclopentadiene incorporated by reference in the Water Quality Control Plan, Lahontan Region is 50 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Hexachloroethane	Hexachloroethane	67-72-1	ug/L	CM	8.9	4	"The Hexachloroethane criteria for the protection of human health from consumption of organisms only is 8.9 ug/L (California Toxics Rule, 2000)."		476	
Hexachloroethane	Hexachloroethane	67-72-1	ug/L	MU	1.9	4	"The Hexachloroethane criteria for the protection of human health from the consumption of water and organisms is 1.9 ug/L (California Toxics Rule, 2000)."		476	
"Indeno(1,2,3-c,d)pyrene"	Indeno(  -C D)Pyrene	193-39-5	ug/L	CM	0.049	4	"The Indeno(1, 2, 3-C, D)Pyrene criteria for the protection of human health from consumption of organisms only is 0.049 ug/L (California Toxics Rule, 2000)."		476	
"Indeno(1,2,3-c,d)pyrene"	Indeno(  -C D)Pyrene	193-39-5	ug/L	MU	0.0044	4	"The Indeno(1, 2, 3-C, D)Pyrene criteria for the protection of human health from the consumption of water and organisms is 0.0044 ug/L (California Toxics Rule, 2000)."		476	
Iron	Iron	7439-89-6	ug/L	CO	1000	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The Red Book states that based on field observations principally, a criterion of 1.0 mg/L iron for freshwater aquatic life is believed to be adequately protective."	2430	2689
Iron	Iron	7439-89-6	ug/L	MU	300	7	"The Water Quality Control Plan for the Lahontan Region∆s Objective for Municipal and Domestic Supply uses of inland surface waters states that waters designated as MUN shall not contain concentrations of chemical constituents in excess of the maximum contaminant level (MCL) or secondary maximum contaminant level (SMCL). This is based upon drinking water standards specified in the following provisions of Title 22 of the California Code of Regulations which are incorporated by reference into the Water Quality Control Plan: Table 64431-A of Section 64431 (Inorganic Chemicals), Table 64431-B of Section 64431 (Fluoride), Table 64444-A of Section 64444 (Organic Chemicals), Table 64449-A of Section 64449 (Secondary Maximum Contaminant Levels-Ranges).  The maximum contaminant level listed in Table 64449-A for Iron is 0.3 mg/L."		2430	
Iron	Iron	7439-89-6	ug/L	WA	1000	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The Red Book states that based on field observations principally, a criterion of 1.0 mg/L iron for freshwater aquatic life is believed to be adequately protective."	2430	2689
Isophorone	Isophorone	78-59-1	ug/L	CM	600	4	"The Isophorone criteria for the protection of human health from consumption of organisms only is 600 ug/L (California Toxics Rule, 2000)."		476	
Isophorone	Isophorone	78-59-1	ug/L	MU	8.4	4	"The Isophorone criteria for the protection of human health from the consumption of water and organisms is 8.4 ug/L (California Toxics Rule, 2000)."		476	
Lead	Lead	7439-92-1	ug/L	CO	2.5	4	"The dissolved lead criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is hardness dependent, and is calculated using the formula outlined in Table 1 of paragraph(b)(1) of the California Toxics Rule.  The criterion  when calculated using a default hardness of 100 mg/L is 0.0025 mg/L (California Toxics Rule, 2000). "		476	
Lead	Lead	7439-92-1	ug/L	ES	8.1	4	"The dissolved lead criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0081 mg/L (California Toxics Rule, 2000)."		476	
Lead	Lead	7439-92-1	ug/L	MA	8.1	4	"The dissolved lead criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0081 mg/L (California Toxics Rule, 2000)."		476	
Lead	Lead	7439-92-1	ug/L	MU	15	7	"California Maximum Contaminant Levels (MCLs) apply to ambient waters under the Lahontan Basin Plan's ""Chemical Constituents"" objective. The MCL for lead is 15 ug/L.·"		2430	
Lead	Lead	7439-92-1	ug/L	WA	2.5	4	"The dissolved lead criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is 0.0025 mg/L (California Toxics Rule, 2000). "		476	
"HCH, gamma-"	Lindane	58-89-9	ug/L	MU	0.2	7	"The California Maximum Contaminant Level for Lindane incorporated by reference in the Water Quality Control Plan, Lahontan Region is 0.2 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Manganese	Manganese	7439-96-5	ug/L	MU	50	7	The Water Quality Control Plan for the Lahontan Region∆s Objective for Municipal and Domestic Supply uses of inland surface waters states that waters designated as MUN shall not contain concentrations of chemical constituents in excess of the maximum contaminant level (MCL) or secondary maximum contaminant level (SMCL).  The secondary maximum contaminant level listed in Table 64449-A for Manganese is 0.05 mg/L.		2430	
Mercury	Mercury	7439-97-6	ug/L	CM	0.051	4	"The Mercury criteria for the protection of human health from consumption of organisms only is 0.051 ug/L (California Toxics Rule, 2000)."		476	
Mercury	Mercury	7439-97-6	ug/L	CO	0.77	4	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	National Recommended Water Quality Criteria Continuous Concentrations (4-day average concentrations) for freshwater aquatic organisms exposure to total mercury is 0.77 ug/L. 	2430	4321
Mercury	Mercury	7439-97-6	ug/L	MU	0.05	4	"The mercury criteria for the protection of human health from the consumption of water and organisms is 0.050 ug/L (California Toxics Rule, 2000)."		476	
Mercury	Mercury	7439-97-6	ug/L	WA	0.77	4	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	National Recommended Water Quality Criteria Continuous Concentrations (4-day average concentrations) for freshwater aquatic organisms exposure to total mercury is 0.77 ug/L. 	2430	4321
Methoxychlor	Methchlor	72-43-5	ug/L	MU	30	7	"The California Maximum Contaminant Level for Methoxychlor incorporated by reference in the Water Quality Control Plan, Lahontan Region is 30 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Methylene Chloride	Methylene chloride	75-09-2	ug/L	MU	4.7	4	"The Methylene chloride criteria for the protection of human health from the consumption of water and organisms is 4.7 ug/L (California Toxics Rule, 2000)."		476	
Molinate	Molinate	2212-67-1	ug/L	MU	20	7	"The California Maximum Contaminant Level for Molinate incorporated by reference in the Water Quality Control Plan, Lahontan Region is 20 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Methyl Tert-butyl Ether	MTBE	1634-04-4	ug/L	MU	13	7	"The California Maximum Contaminant Level for MTBE incorporated by reference in the Water Quality Control Plan, Lahontan Region is 13 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Nickel	Nickel	7440-02-0	ug/L	CM	4600	4	"The Nickel criteria for the protection of human health from consumption of organisms only is 4.6 mg/L (California Toxics Rule, 2000)."		476	
Nickel	Nickel	7440-02-0	ug/L	CO	52	4	"The dissolved nickel criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater is hardness dependent, and is calculated using the formula outlined in Table 1 of paragraph(b)(1) of the California Toxics Rule.  The criterion  when calculated using a default hardness of 100 mg/L is 0.052 mg/L (California Toxics Rule, 2000). "		476	
Nickel	Nickel	7440-02-0	ug/L	ES	8.2	4	"The dissolved nickel criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.0082 mg/L (California Toxics Rule, 2000)."		476	
